"model","r_sq","slope","slope_lci","slope_uci","yint","yint_lci","yint_uci"
"F-P-rufus",0.402608340382378,3.14295277445692,2.70978626197449,3.64536210146284,-4.20115653263652,-5.31144179497921,-3.2438924670672
"M-P-rufus",0.586322197004865,3.4881656075388,3.10917211649768,3.91335662669019,-4.93546417552238,-5.88091133873271,-4.09274101148387
"F-E-dupreanum",0.0456011325181055,4.49521393997694,4.06302865437681,4.973370873079,-6.99813809030273,-8.00747411225219,-6.08584309526265
"M-E-dupreanum",0.0569550998399002,6.02551902734384,5.37525548519788,6.75444723490127,-10.2045750243109,-11.7417243686716,-8.83331216590027
"F-R-madagascariensis",0.145878091820223,4.30664489024891,3.78605774231118,4.89881334968363,-6.19769144299971,-7.29019017832021,-5.23725393288815
"M-R-madagascariensis",0.121867808802507,3.56418610402791,3.21829884185407,3.94724766355978,-4.78383502388518,-5.49324693753255,-4.14326815294973
