"model","r_sq","slope","slope_lci","slope_uci"
"F-Malagasy-Bats",0.969670793425699,2.80043029363527,2.76792779278652,2.83293279448402
"M-Malagasy-Bats",0.962793774477907,2.70416282506251,2.67166032421375,2.73666532591126
"F-Non-Malagasy",0.951316568502786,2.73119250977706,2.69869000892831,2.76369501062581
"M-Non-Malagasy",0.962805710109811,2.72397751172163,2.69147501087288,2.75648001257038
