Family,Genus,Species,Author,Date,Citation,Common Name,Home Range,Island? Y/N,Area of Homerange kmsq,Reference for Area,
Pteropodidae,Cynopterus,minutus,Miller,1906,Proc. Biol. Soc. Wash.,Minute Fruit Bat,Brunei Darussalam; Indonesia; Malaysia,yes,,,
Pteropodidae,Cynopterus,nusatenggara,Kitchener & Maharadatunkamsi,1991,Rec. West. Aust. Mus.,Nusatenggara Short-nosed Fruit Bat,Indonesia,yes,,,
Pteropodidae,Cynopterus,sphinx,Vahl,1797,Skr. Nat. Selsk. Copenhagen,Greater Short-nosed Fruit Bat,India,no,,,
Pteropodidae,Cynopterus,titthaecheilus,Temminck,1825,Monogr. Mamm.,Indonesian Short-nosed Fruit Bat,Indonesia,no,,,
Pteropodidae,Desmalopex,leucopterus,Temminck,1853,Esquisses Zool. sur la C&ocirc;te de Guine,White-winged Flying Fox,Philipinnes,yes,,,
Pteropodidae,Desmalopex,microleucopterus,"Esselstyn, Garcia, Saulog & Heaney",2008,J. Mammal.,Mindoro Pallid Flying Fox,Philipinnes,yes,,,
Pteropodidae,Dobsonia,anderseni,Thomas,1914,Ann. Mag. Nat. Hist.,Andersen&apos;s Naked-backed Fruit Bat,Papua New Guinea,yes,,,
Pteropodidae,Dobsonia,beauforti,Bergmans,1975,Beaufortia,Beaufort&apos;s Naked-backed Fruit Bat,"Islands of Biak, Owii, Numfoor and Yapen, Irian Java",yes,,,
Pteropodidae,Dobsonia,chapmani,Rabor,1952,"Nat. Hist. Misc., Chicago Acad. Sci.",Negros Naked-backed Fruit Bat,Philipinnes,yes,,,
Pteropodidae,Dobsonia,crenulata,K. Andersen,1909,Ann. Mag. Nat. Hist.,Halmahera Naked-backed Fruit Bat,"Indonesia, Maluku (Moluccas), Ternate",yes,,,
Pteropodidae,Dobsonia,emersa,Bergmans & Sarbini,1985,Beaufortia,Biak Naked-backed Fruit Bat,"Islands of Biak, Owii, Numfoor and Yapen, Irian Java",yes,,,
Pteropodidae,Dobsonia,exoleta,K. Andersen,1909,Ann. Mag. Nat. Hist.,Sulawesi Naked-backed Fruit Bat,"Indonesia, Maluku (Moluccas), Ternate",yes,,,
Pteropodidae,Dobsonia,inermis,K. Andersen,1909,Ann. Mag. Nat. Hist.,Solomons Naked-backed Fruit Bat,"Indonesia, Maluku (Moluccas), Ternate",yes,,,
Pteropodidae,Dobsonia,magna,Thomas,1905,Ann. Mag. Nat. Hist.,New Guinea Naked-backed Fruit Bat,"Indonesia, Maluku (Moluccas), Ternate",yes,,,
Pteropodidae,Dobsonia,minor,Dobson,1879,Proc. Zool. Soc. Lond.,Lesser Naked-backed Fruit Bat,"Indonesia, Maluku (Moluccas), Ternate",yes,,,
Pteropodidae,Dobsonia,moluccensis,Quoy & Gaimard,1830,"In d'Urville, Voy...de Astrolabe, Zool.",Moluccan Naked-backed Fruit Bat,Cape york,yes,,,
Pteropodidae,Dobsonia,pannietensis,De Vis,1905,Ann. Queensl. Mus.,Panniet Naked-backed Fruit Bat,"Louisiade Archipelago,Trobriand Island and Woodlark Island",yes,,,
Pteropodidae,Dobsonia,peronii,E. Geoffroy,1810,Ann. Mus. Natn. Hist. Nat. Paris,Western Naked-backed Fruit Bat,Indonesia,yes,,,
Pteropodidae,Dobsonia,praedatrix,K. Andersen,1909,Ann. Mag. Nat. Hist.,New Britain Naked-backed Fruit Bat,"Indonesia, Maluku (Moluccas), Ternate",yes,,,
Pteropodidae,Dobsonia,viridis,Heude,1896,Mem. Hist. Nat. Emp. Chin.,Greenish Naked-backed Fruit Bat,Indonesia,yes,,,
Pteropodidae,Dyacopterus,brooksi,Thomas,1920,Ann. Mag. Nat. Hist.,Brooks&apos;s Dyak Fruit Bat,Malaya,yes,,,
Pteropodidae,Dyacopterus,rickarti,"Helgen, Kock, Gomes & Ingle",2007,Journal of Mammalogy,Phillippine Large-Headed Fruit Bat,"Sundaland,Philippines",no,,,
Pteropodidae,Dyacopterus,spadiceus,Thomas,1890,Ann. Mag. Nat. Hist.,Dyak Fruit Bat,"Sundaland,Philippines",no,,,
Pteropodidae,Eidolon,dupreanum,Pollen <i>in</i> Schlegel,1867,Proc. Zool. Soc. Lond.,Malagasy Straw-colored Fruit Bat,Madagascar,yes,,,
Pteropodidae,Eidolon,helvum,Kerr,1792,"In Linnaeus, Anim. Kingdom",African Straw-colored Fruit Bat,Ivory Coast,no,,,
Pteropodidae,Eonycteris,major,K. Andersen,1910,Ann. Mag. Nat. Hist.,Greater Dawn Bat,Brunei Darussalam; Indonesia; Malaysia,yes,,,
Pteropodidae,Eonycteris,robusta,Miller,1913,Proc. Biol. Soc. Wash.,Phillipine Dawn Bat,Philipinnes,yes,,,
Pteropodidae,Eonycteris,spelaea,Dobson,1871,Proc. Asiat. Soc. Bengal,Lesser Dawn Bat,"Brunei Darussalam; Cambodia; China; India (Andaman Is., Assam, Sikkim, Nagaland, Andhra Pradesh, Nicobar Is., Manipur, Karnataka, Uttaranchal, Meghalaya, Tamil Nadu); Indonesia; Lao People's Democratic Republic; Malaysia; Myanmar; Philippines; Singapore; Thailand; Timor-Leste; Viet Nam",yes,,,
Pteropodidae,Epomophorus,angolensis,Gray,1870,"Cat. Monkeys, Lemurs, Fruit-eating Bats Brit. Mus.",Angolan Epauletted Fruit Bat,Angola; Namibia,no,,,
Pteropodidae,Epomophorus,anselli,Bergmans & van Strien,2004,Acta Chiropterol.,Ansell&apos;s Dawn Bat,Malawi,no,,,
Pteropodidae,Epomophorus,crypturus,Peters,1852,"Naturwiss. Reise nach Mossambique, S&auml;ug.",Peters&apos;s Epauletted Fruit Bat,East Africa,no,,,
Pteropodidae,Epomophorus,dobsonii,Bocage,1889,J. Sci. Math. Phys. Nat. Lisboa,Dobson&apos;s Epauletted Fruit Bat,"Angola; Congo, The Democratic Republic of the; Malawi; Mozambique; Namibia; Tanzania, United Republic of; Zambia",no,,,
Pteropodidae,Epomophorus,gambianus,Ogilby,1835,Proc. Zool. Soc. Lond.,Gambian Epauletted Fruit Bat,Mid west Africa,no,,,
Pteropodidae,Epomophorus,grandis,Sanborn,1950,Publ. Cult. Comp. Diamantes Angola,Sanborn&apos;s Epauletted Fruit Bat,Angola; Congo,no,,,
