Order,Family,Genus,Species,Binomial,Sex,AdultBodyMass_g,Sample_size_bodyMass,reference_bodymass,MaxLongevity_m,Adult_tibia_length_m,sample_size_tibia,reference.tibia,Adult_ear_length_mm,sample_size_ear,reference.ear.length,Adult_forearm_length_mm,sample_size_forearm,reference.forearm
Chiroptera,Pteropodidae,Pteropus,lombocensis,Pteropus lombocensis,F,360,2,"Tsang, 2015 (Dissertation)",NA,54.29,2,"Tsang, 2015 (Dissertation)",26.13,2,"Tsang, 2015 (Dissertation)",122,2,"Tsang, 2015 (Dissertation)"
Chiroptera,Pteropodidae,Pteropus,lombocensis,Pteropus lombocensis,M,215,1,"Tsang, 2015 (Dissertation)",NA,45.22,1,"Tsang, 2015 (Dissertation)",25.66,1,"Tsang, 2015 (Dissertation)",101,1,"Tsang, 2015 (Dissertation)"
Chiroptera,Pteropodidae,Pteropus,loochoensis,Pteropus loochoensis,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,loochoensis,Pteropus loochoensis,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,macrotis,Pteropus macrotis,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,macrotis,Pteropus macrotis,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,mahaganus,Pteropus mahaganus,F,NA,NA,NA,NA,NA,NA,NA,22.5,2,Phillips 2012,139,2,Phillips 2012
Chiroptera,Pteropodidae,Pteropus,mahaganus,Pteropus mahaganus,M,NA,NA,NA,NA,NA,NA,NA,25,1,Phillips 2012,134,1,Phillips 2012
Chiroptera,Pteropodidae,Pteropus,molossinus,Pteropus molossinus,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,molossinus,Pteropus molossinus,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,neohibernicus,Pteropus neohibernicus,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169,NA,Flannery 1995
Chiroptera,Pteropodidae,Pteropus,neohibernicus,Pteropus neohibernicus,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.5,NA,Flannery 1995
Chiroptera,Pteropodidae,Pteropus,nitendiensis,Pteropus nitendiensis,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,nitendiensis,Pteropus nitendiensis,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,ornatus,Pteropus ornatus,F,NA,NA,NA,NA,45.07,4,Wiantoro and Maryanto 2016,24.41,4,Wiantoro and Maryanto 2016,94.22,4,Wiantoro and Maryanto 2016
Chiroptera,Pteropodidae,Pteropus,ornatus,Pteropus ornatus,M,NA,NA,NA,NA,42.78,8,Wiantoro and Maryanto 2016,21.25,8,Wiantoro and Maryanto 2016,91.3,8,Wiantoro and Maryanto 2016
Chiroptera,Pteropodidae,Pteropus,pelagicus,Pteropus pelagicus,F,211,5,Buden et al. 2013,NA,NA,NA,NA,23.7,3,Buden et al. 2013,105.3,5,Buden et al. 2013
Chiroptera,Pteropodidae,Pteropus,pelagicus,Pteropus pelagicus,M,173.6,5,Buden et al. 2013,NA,NA,NA,NA,22.25,4,Buden et al. 2013,103.9,4,Buden et al. 2013
Chiroptera,Pteropodidae,Pteropus,pilosus,Pteropus pilosus,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,pilosus,Pteropus pilosus,M,NA,NA,NA,NA,NA,NA,NA,25.5,1,Wiles et al. 1997,151.5,1,Wiles et al. 1997
Chiroptera,Pteropodidae,Pteropus,pohlei,Pteropus pohlei,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,pohlei,Pteropus pohlei,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,poliocephalus,Pteropus poliocephalus,F,675,73,Welbergen 2010,NA,69.5,73,Welbergen 2010,33.5,NA,Menkhorst and Knight 2011,139,73,Welbergen 2010
Chiroptera,Pteropodidae,Pteropus,poliocephalus,Pteropus poliocephalus,M,842,87,Welbergen 2010,NA,69.2,87,Welbergen 2010,33.5,NA,Menkhorst and Knight 2011,139,87,Welbergen 2010
Chiroptera,Pteropodidae,Pteropus,pumilus,Pteropus pumilus,F,172.5,NA,Heaney and Roberts 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,pumilus,Pteropus pumilus,M,172.5,NA,Heaney and Roberts 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,rayneri,Pteropus rayneri,F,NA,NA,NA,NA,NA,NA,NA,23,1,Phillips 2012,134,1,Phillips 2012
Chiroptera,Pteropodidae,Pteropus,rayneri,Pteropus rayneri,M,NA,NA,NA,NA,NA,NA,NA,23,2,Phillips 2012,137,2,Phillips 2012
Chiroptera,Pteropodidae,Pteropus,rennelli,Pteropus rennelli,F,NA,NA,NA,NA,53.5,1,Troughton 1929,23,1,Troughton 1929,121,1,Troughton 1929
Chiroptera,Pteropodidae,Pteropus,rennelli,Pteropus rennelli,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,rodricensis,Pteropus rodricensis,F,255,NA,Kunz and Allgaier 1993,NA,NA,NA,NA,NA,NA,NA,130,NA,Kunz and Allgaier 1993
Chiroptera,Pteropodidae,Pteropus,rodricensis,Pteropus rodricensis,M,255,NA,Kunz and Allgaier 1993,NA,NA,NA,NA,NA,NA,NA,130,NA,Kunz and Allgaier 1993
Chiroptera,Pteropodidae,Pteropus,samoensis,Pteropus samoensis,F,330,16,Banack 2001,NA,63.4,11,Engbring 1989,NA,NA,NA,134,25,Helgen et al. 2009
Chiroptera,Pteropodidae,Pteropus,samoensis,Pteropus samoensis,M,330,16,Banack 2001,NA,63.4,11,Engbring 1989,NA,NA,NA,134,25,Helgen et al. 2009
Chiroptera,Pteropodidae,Pteropus,scapulatus,Pteropus scapulatus,F,362,3,Bartholomew et al. 1964,NA,NA,NA,NA,29,NA,Koopman 2020,131.5,NA,Koopman 2020
Chiroptera,Pteropodidae,Pteropus,scapulatus,Pteropus scapulatus,M,362,3,Bartholomew et al. 1964,NA,NA,NA,NA,29,NA,Koopman 2020,131.5,NA,Koopman 2020
Chiroptera,Pteropodidae,Pteropus,seychellensis,Pteropus seychellensis,F,507,7,Norberg et al. 2000,NA,NA,NA,NA,32.5,8,Hill 1971,143.5,8,Hill 1971
Chiroptera,Pteropodidae,Pteropus,seychellensis,Pteropus seychellensis,M,507,7,Norberg et al. 2000,NA,NA,NA,NA,32.5,8,Hill 1971,143.5,8,Hill 1971
Chiroptera,Pteropodidae,Pteropus,speciosus,Pteropus speciosus,F,400,NA,Heaney and Roberts 2010,NA,NA,NA,NA,25.5,NA,Koopman 2020,121.5,2,Anderson 1908
Chiroptera,Pteropodidae,Pteropus,speciosus,Pteropus speciosus,M,400,NA,Heaney and Roberts 2010,NA,NA,NA,NA,25.5,NA,Koopman 2020,121.5,2,Anderson 1908
Chiroptera,Pteropodidae,Pteropus,subniger,Pteropus subniger,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,NA,Koopman 2020
Chiroptera,Pteropodidae,Pteropus,subniger,Pteropus subniger,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,NA,Koopman 2020
Chiroptera,Pteropodidae,Pteropus,temminckii,Pteropus temminckii,F,178.3333333,3,Tsang et al. 2015,NA,45.98666667,3,Tsang et al. 2015,22.795,2,Tsang et al. 2015,103,6,Tsang et al. 2015
Chiroptera,Pteropodidae,Pteropus,temminckii,Pteropus temminckii,M,150,2,Tsang et al. 2015,NA,45.59,1,Tsang et al. 2015,22.96,2,Tsang et al. 2015,98.2,5,Tsang et al. 2015
Chiroptera,Pteropodidae,Pteropus,tokudae,Pteropus tokudae,F,151.8,1,Perez 1972,NA,70,1,Perez 1972,20,1,Perez 1972,95,1,Perez 1972
Chiroptera,Pteropodidae,Pteropus,tokudae,Pteropus tokudae,M,151.8,1,Perez 1972,NA,70,1,Perez 1972,20,1,Perez 1972,95,1,Perez 1972
Chiroptera,Pteropodidae,Pteropus,tonganus,Pteropus tonganus,F,519,11,Norberg et al. 2000,NA,68.1,NA,Miller and Wilson 1997,29.1,NA,Miller and Wilson 1997,138,11,Helgen et al. 2009
Chiroptera,Pteropodidae,Pteropus,tonganus,Pteropus tonganus,M,519,11,Norberg et al. 2000,NA,68.1,NA,Miller and Wilson 1997,29.1,NA,Miller and Wilson 1997,138,11,Helgen et al. 2009
Chiroptera,Pteropodidae,Pteropus,tuberculatus,Pteropus tuberculatus,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,Koopman 2020
Chiroptera,Pteropodidae,Pteropus,tuberculatus,Pteropus tuberculatus,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,Koopman 2020
Chiroptera,Pteropodidae,Pteropus,vetula,Pteropus vetula,F,NA,NA,NA,NA,NA,NA,NA,20,NA,Anderson 1909,107,NA,Koopman 2020
Chiroptera,Pteropodidae,Pteropus,vetula,Pteropus vetula,M,NA,NA,NA,NA,NA,NA,NA,20,NA,Anderson 1909,107,NA,Koopman 2020
Chiroptera,Pteropodidae,Rousettus,aegyptiacus,Rousettus aegyptiacus,F,88,9,Karatas et al. 2003,NA,42,7,Karatas et al. 2003,24,8,Karatas et al. 2003,90,11,Karatas et al. 2003
Chiroptera,Pteropodidae,Rousettus,aegyptiacus,Rousettus aegyptiacus,M,88,9,Karatas et al. 2003,NA,42,7,Karatas et al. 2003,24,8,Karatas et al. 2003,90,11,Karatas et al. 2003
Chiroptera,Pteropodidae,Rousettus,celebensis,Rousettus celebensis,F,76.36,12,Maryanto and Yani 2003,NA,36.87,12,Maryanto and Yani 2003,18.43,12,Maryanto and Yani 2003,75.81,12,Maryanto and Yani 2003
Chiroptera,Pteropodidae,Rousettus,celebensis,Rousettus celebensis,M,76.36,12,Maryanto and Yani 2003,NA,36.87,12,Maryanto and Yani 2003,18.43,12,Maryanto and Yani 2003,75.81,12,Maryanto and Yani 2003
Chiroptera,Pteropodidae,Rousettus,linduensis,Rousettus linduensis,F,90.75,4,Maryanto and Yani 2003,NA,36.8,4,Maryanto and Yani 2003,18.55,4,Maryanto and Yani 2003,76.73,4,Maryanto and Yani 2003
Chiroptera,Pteropodidae,Rousettus,linduensis,Rousettus linduensis,M,90.75,4,Maryanto and Yani 2003,NA,36.8,4,Maryanto and Yani 2003,18.55,4,Maryanto and Yani 2003,76.73,4,Maryanto and Yani 2003
Chiroptera,Pteropodidae,Rousettus,madagascariensis,Rousettus madagascariensis,F,53.85337,7,Brook et al. 2019,NA,32.04671,NA,NA,13.60026,7,Ramasindrazana and Goodman 2011,69.53032,7,Ramasindrazana and Goodman 2011
Chiroptera,Pteropodidae,Rousettus,madagascariensis,Rousettus madagascariensis,M,64.63527,3,Brook et al. 2019,NA,33.73951,NA,NA,13.07134,3,Ramasindrazana and Goodman 2011,71.31206,3,Ramasindrazana and Goodman 2011
Chiroptera,Pteropodidae,Rousettus,obliviosus,Rousettus obliviosus,F,42.5,6,Reason et al. 1994,NA,NA,NA,NA,13.4,43,Reason et al. 1994,74,43,Reason et al. 1994
Chiroptera,Pteropodidae,Rousettus,obliviosus,Rousettus obliviosus,M,45.7,3,Reason et al. 1994,NA,NA,NA,NA,13.7,31,Reason et al. 1994,74.2,31,Reason et al. 1994
Chiroptera,Pteropodidae,Scotonycteris,bergmansi,Scotonycteris bergmansi,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.2,10,Hassanin et al. 2015
Chiroptera,Pteropodidae,Scotonycteris,bergmansi,Scotonycteris bergmansi,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.23333333,9,Hassanin et al. 2015
Chiroptera,Pteropodidae,Scotonycteris,occidentalis,Scotonycteris occidentalis,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1,4,Hassanin et al. 2015
Chiroptera,Pteropodidae,Scotonycteris,occidentalis,Scotonycteris occidentalis,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.9,6,Hassanin et al. 2015
Chiroptera,Pteropodidae,Sphaerias,blanfordi,Sphaerias blanfordi,F,28.63,25,Zhang et al 2010,NA,20.38,25,Zhang et al 2010,18.5,25,Zhang et al 2010,53.53,25,Zhang et al 2010
Chiroptera,Pteropodidae,Sphaerias,blanfordi,Sphaerias blanfordi,M,28.63,25,Zhang et al 2010,NA,20.38,25,Zhang et al 2010,18.5,25,Zhang et al 2010,53.53,25,Zhang et al 2010
Chiroptera,Pteropodidae,Styloctenium,mindorensis,Styloctenium mindorensis,F,212,1,Esselstyn et al. 2008,NA,NA,NA,NA,24,1,Esselstyn et al. 2008,114,1,Esselstyn et al. 2008
Chiroptera,Pteropodidae,Styloctenium,mindorensis,Styloctenium mindorensis,M,156.3333333,3,Esselstyn et al. 2008,NA,NA,NA,NA,23.33333333,3,Esselstyn et al. 2008,104.3333333,3,Esselstyn et al. 2008
Chiroptera,Pteropodidae,Styloctenium,wallacei,Styloctenium wallacei,F,190,2,Ransaleleh et al 2020,NA,NA,NA,NA,23,2,Ransaleleh et al 2020,105,2,Ransaleleh et al 2020
Chiroptera,Pteropodidae,Styloctenium,wallacei,Styloctenium wallacei,M,190,2,Ransaleleh et al 2020,NA,NA,NA,NA,23,2,Ransaleleh et al 2020,105,2,Ransaleleh et al 2020
Chiroptera,Pteropodidae,Syconycteris,australis,Syconycteris australis,F,17.43,10,Geiser and Coburn 1999,NA,17.55454545,110,Kitchener et al 1994,16.07272727,110,Kitchener et al 1994,44.12727273,110,Kitchener et al 1994
Chiroptera,Pteropodidae,Syconycteris,australis,Syconycteris australis,M,17,2,Geiser and Coburn 1999,NA,17.55454545,110,Kitchener et al 1994,16.07272727,110,Kitchener et al 1994,44.12727273,110,Kitchener et al 1994
Chiroptera,Pteropodidae,Thoopterus,suhaniahae,Thoopterus suhaniahae,F,NA,NA,NA,NA,31.47+K347,14,Maryanto et al. 2012,17.64,14,Maryanto et al. 2012,76.44,14,Maryanto et al. 2012
Chiroptera,Pteropodidae,Thoopterus,suhaniahae,Thoopterus suhaniahae,M,NA,NA,NA,NA,32.26,22,Maryanto et al. 2012,17.79,22,Maryanto et al. 2012,78.36,22,Maryanto et al. 2012
Chiroptera,Pteropodidae,Nyctimene,cephalotes,Nyctimene cephalotes,F,NA,NA,NA,NA,NA,NA,NA,14.5,29,Kitchener et al. 1995,64.3,29,Kitchener et al. 1995
Chiroptera,Pteropodidae,Nyctimene,cephalotes alpini,Nyctimene cephalotes aplini,M,NA,NA,NA,NA,NA,NA,NA,16.2,5,Kitchener et al. 1995,68.6,5,Kitchener et al. 1995
Chiroptera,Pteropodidae,Nyctimene,cephalotes cephalotes,N. cephalotes cephalotes,F,NA,NA,NA,NA,NA,NA,NA,14.2,24,Kitchener et al. 1995,63.4,24,Kitchener et al. 1995
Chiroptera,Pteropodidae,Nyctimene,cephalotes cephalotes,N. cephalotes cephalotes,M,NA,NA,NA,NA,NA,NA,NA,14.25,14,Lawrence et al. 1984,64.35,14,Lawrence et al. 1984
Chiroptera,Pteropodidae,Nyctimene,certans,Nyctimene certans,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Nyctimene,certans,Nyctimene certans,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Nyctimene,cyclotis,Nyctimene cyclotis,M,NA,NA,NA,NA,NA,NA,"Irwin, 2017",13.59,2,"Irwin, 2017",55.09,2,"Irwin, 2017"
Chiroptera,Pteropodidae,Nyctimene,draconilla,Nyctimene draconilla,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Nyctimene,draconilla,Nyctimene draconilla,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Nyctimene,keasti,Nyctimene keasti,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Nyctimene,keasti,Nyctimene keasti,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Nyctimene,major,Nyctimene major,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Nyctimene,major,Nyctimene major,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Nyctimene,masalai,Nyctimene masalai,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Nyctimene,masalai,Nyctimene masalai,M,52.3,1,Smith and Hood 1983,NA,NA,NA,NA,14,1,Smith and Hood 1983,67.5,1,Smith and Hood 1983
Chiroptera,Pteropodidae,Nyctimene,minutus,Nyctimene minutus,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,1,Andersen 1910
Chiroptera,Pteropodidae,Nyctimene,minutus,Nyctimene minutus,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Nyctimene,robinsoni,Nyctimene robinsoni,F,51.22,4,Riek et al. 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Nyctimene,robinsoni,Nyctimene robinsoni,M,53.66,3,Riek et al. 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Nyctimene,sanctacrucis,Nyctimene sanctacrucis,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Nyctimene,sanctacrucis,Nyctimene sanctacrucis,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Nyctimene,vizcaccia,Nyctimene vizcaccia,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Nyctimene,vizcaccia,Nyctimene vizcaccia,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Nyctimene,wrightae,Nyctimene wrightae,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Nyctimene,wrightae,Nyctimene wrightae,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Otopteropus,cartilagonodus,Otopteropus cartilagonodus,F,15.98,40,Ruedas et al. 1994,NA,NA,NA,NA,14,40,Ruedas et al. 1994,48.75,40,Ruedas et al. 1994
Chiroptera,Pteropodidae,Otopteropus,cartilagonodus,Otopteropus cartilagonodus,M,16.36,14,Ruedas et al. 1994,NA,NA,NA,NA,13.21,14,Ruedas et al. 1994,47.86,14,Ruedas et al. 1994
Chiroptera,Pteropodidae,Ptenochirus,jagorii,Ptenochirus jagorii,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Ptenochirus,jagorii,Ptenochirus jagorii,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Ptenochirus,minor,Ptenochirus minor,F,NA,NA,NA,NA,27.5,2,Yoshiyuki 1979,19.5,3,Yoshiyuki 1979,69.12,2,Yoshiyuki 1979
Chiroptera,Pteropodidae,Ptenochirus,minor,Ptenochirus minor,M,NA,NA,NA,NA,29.5,2,Yoshiyuki 1979,20.5,3,Yoshiyuki 1979,75.41,2,Yoshiyuki 1979
Chiroptera,Pteropodidae,Ptenochirus,wetmorei,Ptenochirus wetmorei,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Ptenochirus,wetmorei,Ptenochirus wetmorei,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Ptenochirus,anceps,Pteralopex anceps,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Ptenochirus,anceps,Pteralopex anceps,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteralopex,atrata,Pteralopex atrata,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteralopex,atrata,Pteralopex atrata,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteralopex,flanneryi,Pteralopex flanneryi,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteralopex,flanneryi,Pteralopex flanneryi,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,alecto,Pteropus alecto,F,672.7,NA,McMichael et al. 2016,NA,NA,NA,NA,NA,NA,NA,160,195,McMichael et al. 2016
Chiroptera,Pteropodidae,Pteropus,alecto,Pteropus alecto,M,781.8,NA,McMichael et al. 2016,NA,NA,NA,NA,NA,NA,NA,162.8,378,McMichael et al. 2016
Chiroptera,Pteropodidae,Pteropus,allenorum,Pteropus allenorum,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,allenorum,Pteropus allenorum,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,anetianus,Pteropus anetianus,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,anetianus,Pteropus anetianus,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,capistratus,Pteropus capistratus,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,capistratus,Pteropus capistratus,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,cognatus,Pteropus cognatus,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,cognatus,Pteropus cognatus,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,coxi,Pteropus coxi,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,coxi,Pteropus coxi,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
