Order,Family,Genus,Species,Binomial,Sex,AdultBodyMass_g,Sample_size_bodyMass,reference_bodymass,MaxLongevity_m,Adult_tibia_length_m,sample_size_tibia,reference.tibia,Adult_ear_length_mm,sample_size_ear,reference.ear.length,Adult_forearm_length_mm,sample_size_forearm,reference.forearm
Chiroptera,Pteropodidae,Balionycteris,seimundi,Balionycteris seimundi,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Casinycteris,campomaanensis,Casinycteris campomaanensis,F,49,1,Hassanin et al. 2014,NA,30.6,1,Hassanin et al. 2014,22.3,1,Hassanin et al. 2014,73.2,1,Hassanin et al. 2014
Chiroptera,Pteropodidae,Casinycteris,campomaanensis,Casinycteris campomaanensis,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Chironax,melanocephalus,Chironax melanocephalus,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Chironax,melanocephalus,Chironax melanocephalus,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Cynopterus,brachyotis,Cynopterus brachyotis,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Cynopterus,brachyotis,Cynopterus brachyotis,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Cynopterus,horsfieldii,Cynopterus horsfieldii,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Cynopterus,horsfieldii,Cynopterus horsfieldii,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Cynopterus,luzoniensis,Cynopterus luzoniensis,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Cynopterus,luzoniensis,Cynopterus luzoniensis,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Cynopterus,minutus,Cynopterus minutus,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Cynopterus,minutus,Cynopterus minutus,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Cynopterus,nusatenggara,Cynopterus nusatenggara,F,31.1,56,Kitchener and Maharadatunkamsi 1996,NA,23.9,106,Kitchener and Maharadatunkamsi 1996,15.2,106,Kitchener and Maharadatunkamsi 1996,60.2,107,Kitchener and Maharadatunkamsi 1996
Chiroptera,Pteropodidae,Cynopterus,nusatenggara,Cynopterus nusatenggara,M,29.2,60,Kitchener and Maharadatunkamsi 1996,NA,23.9,106,Kitchener and Maharadatunkamsi 1996,15.2,106,Kitchener and Maharadatunkamsi 1996,60.2,107,Kitchener and Maharadatunkamsi 1996
Chiroptera,Pteropodidae,Cynopterus,sphinx,Cynopterus sphinx,F,NA,NA,NA,NA,26.61,4,Hussain et al. 2020,19.51,4,Hussain et al. 2020,65.49,4,Hussain et al. 2020
Chiroptera,Pteropodidae,Cynopterus,sphinx,Cynopterus sphinx,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Cynopterus,titthaecheilus,Cynopterus titthaecheilus,F,74.38,13,Rahma et al. 2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Cynopterus,titthaecheilus,Cynopterus titthaecheilus,M,73.27,18,Rahma et al. 2020,NA,32.5,3,Kitchener and Foley 1985,18.76,3,Kitchener and Foley 1985,NA,NA,NA
Chiroptera,Pteropodidae,Desmalopex,microleucopterus,Desmalopex microleucopterus,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Desmalopex,microleucopterus,Desmalopex microleucopterus,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Dobsonia,anderseni,Dobsonia anderseni,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Dobsonia,anderseni,Dobsonia anderseni,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Dobsonia,crenulata,Dobsonia crenulata,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.15,2,Bergmans and Rozendalal 1988
Chiroptera,Pteropodidae,Dobsonia,crenulata,Dobsonia crenulata,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Dobsonia,exoleta,Dobsonia exoleta,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.15,2,Bergmans and Rozendalal 1988
Chiroptera,Pteropodidae,Dobsonia,exoleta,Dobsonia exoleta,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Dobsonia,peronii,Dobsonia peronii,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Dobsonia,peronii,Dobsonia peronii,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Dobsonia,viridis,Dobsonia viridis,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Dobsonia,viridis,Dobsonia viridis,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Dyacopterus,brooksi,Dyacopterus brooksi,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Dyacopterus,brooksi,Dyacopterus brooksi,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Dyacopterus,rickarti,Dyacopterus rickarti,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Dyacopterus,rickarti,Dyacopterus rickarti,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Dyacopterus,spadiceus,Dyacopterus spadiceus,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Dyacopterus,spadiceus,Dyacopterus spadiceus,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Eidolon,helvum,Eidolon helvum,F,158.2,3,Monadjem et al. 2010,NA,48.6,10,Mongombe et al. 2020,26,5,Monadjem et al. 2010,119.3,5,Monadjem et al. 2010
Chiroptera,Pteropodidae,Eidolon,helvum,Eidolon helvum,M,196.4,2,Monadjem et al. 2010,NA,48.6,10,Mongombe et al. 2020,22,4,Monadjem et al. 2010,112.5,9,Monadjem et al. 2010
Chiroptera,Pteropodidae,Eonycteris,major,Eonycteris major,F,79.5,1,Anderson 1910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Eonycteris,major,Eonycteris major,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,1,Ingle and Heaney 1992
Chiroptera,Pteropodidae,Eonycteris,robusta,Eonycteris robusta,F,73.5,1,Ingle and Heaney 1992,NA,NA,NA,NA,21,1,Ingle and Heaney 1992,74.5,1,Ingle and Heaney 1992
Chiroptera,Pteropodidae,Eonycteris,robusta,Eonycteris robusta,M,73.5,1,Ingle and Heaney 1992,NA,NA,NA,NA,21,1,Ingle and Heaney 1992,74.5,1,Ingle and Heaney 1992
