 ,Order,Family,Genus,Species,Binomial,Sex,AdultBodyMass_g,Sample_size_bodyMass,reference_bodymass,MaxLongevity_m,Adult_tibia_length_m,Adult_tibia_length_CI_m,sample_size_tibia,reference-tibia,Adult_ear_length_mm,Adult_ear_length_CI_mm,sample_size_ear,reference-ear-length,Adult_forearm_length_mm,Adult_forearm_length_CI_mm,sample_size_forearm,reference-forearm
Santino,Chiroptera,Pteropodidae,Balionycteris,maculata,Balionycteris maculata,Male,12,5,"ibnu Maryanto, 2003
",NA,12.65,NA,5,"ibnu Maryanto, 2003
",7.29,NA,5,"ibnu Maryanto, 2003
",40.15,NA,5,"ibnu Maryanto, 2003
"
Santino,Chiroptera,Pteropodidae,Balionycteris,maculata,Balionycteris maculata,Female,12.21,7,"ibnu Maryanto, 2003
",NA,12.59,NA,7,"ibnu Maryanto, 2003
",7.13,NA,7,"ibnu Maryanto, 2003
",39.21,NA,7,"ibnu Maryanto, 2003
"
Santino,Chiroptera,Pteropodidae,Chironax,melanocephalus,Chironax melanocephalus,NA,19.5,1,Hasan et al 2012,NA,NA,NA,1,Hasan et al 2012,14.9,NA,1,Hasan et al 2012,47.6,NA,1,Hasan et al 2012
Santino,Chiroptera,Pteropodidae,Casinycteris,argynnis,Casinycteris argynnis,Female,31.5,2,Van Cakenberghe et al 1995,NA,24.1,NA,2,Van Cakenberghe et al 1995,18.8,NA,2,Van Cakenberghe et al 1995,58.75,NA,2,Van Cakenberghe et al 1995
Santino,Chiroptera,Pteropodidae,Cynopterus,brachyotis,Cynopterus brachyotis,NA,30.1 -62,6,Huang et al 2014,,22.5-26.7,NA,6,Huang et al 2014,16.1-18.1,NA,6,Huang et al 2014,66.4-69.5,NA,6,Huang et al 2014
Santino,Chiroptera,Pteropodidae,Cynopterus,horsfieldii,Cynopterus horsfieldii,NA,57.9,31,Campbell et al 2007,NA,27.4,NA,27,Campbell et al 2007,NA,NA,NA,NA,73.24,NA,27,Campbell et al 2007
Santino,Chiroptera,Pteropodidae,Cynopterus,luzoniensis,Cynopterus luzoniensis,NA,NA,23,Mudar & Allen 1986,NA,NA,NA,23,Mudar & Allen 1986,17.2,NA,23,Mudar & Allen 1986,65.1,NA,23,Mudar & Allen 1986
Santino,Chiroptera,Pteropodidae,Cynopterus,minutus,Cynopterus minutus,NA,45 - 50,5,Rasanleleh et al 2020,NA,NA,NA,5,Rasanleleh et al 2020,12.5 - 14,NA,5,Rasanleleh et al 2020,55,NA,5,Rasanleleh et al 2020
Santino,Chiroptera,Pteropodidae,Cynopterus,nusatenggara,Cynopterus nusatenggara,NA,31.1,NA,Kitchener&Maharadatunkamsi_1996,NA,23.9,NA,NA,Kitchener&Maharadatunkamsi_1996,15.2,NA,NA,Kitchener&Maharadatunkamsi_1996,60.2,NA,NA,Kitchener&Maharadatunkamsi_1996
Santino,Chiroptera,Pteropodidae,Cynopterus,sphinx,Cynopterus sphinx,NA,47,31,Campbell et al 2007,NA,26.96,NA,23,Campbell et al 2007,18 - 20.5,NA,38,Huang et al 2014,68.65,NA,23,Campbell et al 2007
Santino,Chiroptera,Pteropodidae,Cynopterus,titthaecheilus,Cynopterus titthaecheilus,NA,NA,NA,Kitchener&Foley_1985,NA,"30,7 - 34.7",NA,NA,Kitchener&Foley_1985,18.8 - 19.2,NA,NA,Kitchener&Foley_1985,NA,NA,NA,NA
Santino,Chiroptera,Pteropodidae,Dobsonia,anderseni,Dobsonia anderseni,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santino,Chiroptera,Pteropodidae,Dobsonia,beauforti,Dobsonia beauforti,Male,156,1,Yohanita _et_al_2010,NA,45.32,NA,17,Yohanita _et_al_2010,25.45,NA,17,Yohanita _et_al_2010,106.4,NA,1,Bergmans&Sarbini_1985
