"roost_site","latitude_s","longitude_e","researchers_present","collection_date","net_night","bat_species","sampleid"
"Ambakoana","-18.513","48.1665","CB, CR, AR, Rabetso","11/15/2013","1","Pteropus rufus","AMB5"
"Ambakoana","-18.513","48.1665","CB, CR, AR, Rabetso","11/15/2013","1","Pteropus rufus","AMB7"
"Ambakoana","-18.513","48.1665","CB, CR, AR, Rabetso","11/16/2013","2","Pteropus rufus","AMB8"
"Ambakoana","-18.513","48.1665","CB, CR, AR, Rabetso","11/16/2013","2","Pteropus rufus","AMB9"
"Ambakoana","-18.513","48.1665","CB, CR, AR, Rabetso","11/16/2013","2","Pteropus rufus","AMB11"
"Ambakoana","-18.513","48.1665","CB, CR, AR, Rabetso","11/16/2013","2","Pteropus rufus","AMB10"
"Ambakoana","-18.513","48.1665","CB, CR, AR, Rabetso","11/16/2013","2","Pteropus rufus","AMB12"
"Ambakoana","-18.513","48.1665","CB, CR, AR, Rabetso","11/18/2013","4","Pteropus rufus","AMB13"
"Ambakoana","-18.513","48.1665","CB, CR, AR, Rabetso","11/18/2013","4","Pteropus rufus","AMB16"
"Ambakoana","-18.513","48.1665","CB, CR, AR, Rabetso","11/18/2013","4","Pteropus rufus","AMB17"
"Ambakoana","-18.513","48.1665","CB, CR, AR, Rabetso","11/18/2013","4","Pteropus rufus","AMB14"
"Ambakoana","-18.513","48.1665","CB, CR, AR, Rabetso","11/18/2013","4","Pteropus rufus","AMB15"
"Ambakoana","-18.513","48.1665","CB, CR, AR, Rabetso","11/18/2013","4","Pteropus rufus","AMB18"
"Ambakoana","-18.513","48.1665","CB, CR, AR, Rabetso","11/19/2013","5","Pteropus rufus","AMB19"
"AngavoBe","-18.944","47.9491","CB, CR, Dada","11/23/2013","1","Eidolon dupreanum","ANGB1"
"AngavoBe","-18.944","47.9491","CB, CR, Dada","11/23/2013","1","Eidolon dupreanum","ANGB4"
"AngavoBe","-18.944","47.9491","CB, CR, Dada","11/23/2013","1","Eidolon dupreanum","ANGB3"
"AngavoBe","-18.944","47.9491","CB, CR, Dada","11/23/2013","1","Eidolon dupreanum","ANGB6"
"AngavoBe","-18.944","47.9491","CB, CR, Dada","11/23/2013","1","Eidolon dupreanum","ANGB5"
"AngavoBe","-18.944","47.9491","CB, CR, Dada","11/23/2013","1","Eidolon dupreanum","ANGB7"
"AngavoBe","-18.944","47.9491","CB, CR, Dada","11/23/2013","1","Eidolon dupreanum","ANGB8"
"AngavoBe","-18.944","47.9491","CB, CR, Dada","11/23/2013","1","Eidolon dupreanum","ANGB9"
"AngavoBe","-18.944","47.9491","CB, CR, Dada","11/23/2013","1","Eidolon dupreanum","ANGB10"
"AngavoBe","-18.944","47.9491","CB, CR, Dada","11/23/2013","1","Eidolon dupreanum","ANGB2"
"AngavoBe","-18.944","47.9491","CB, CR, Dada","11/23/2013","1","Eidolon dupreanum","ANGB11"
"AngavoBe","-18.944","47.9491","CB, CR, Dada","11/23/2013","1","Eidolon dupreanum","ANGB12"
"AngavoBe","-18.944","47.9491","CB, CR, Dada","11/23/2013","1","Eidolon dupreanum","ANGB13"
"AngavoBe","-18.944","47.9491","CB, CR, Dada","11/24/2013","1","Eidolon dupreanum","ANGB14"
"AngavoBe","-18.944","47.9491","CB, CR, Dada","11/24/2013","1","Eidolon dupreanum","ANGB16"
"AngavoBe","-18.944","47.9491","CB, CR, Dada","11/24/2013","1","Eidolon dupreanum","ANGB18"
"AngavoBe","-18.944","47.9491","CB, CR, Dada","11/24/2013","1","Eidolon dupreanum","ANGB21"
"AngavoBe","-18.944","47.9491","CB, CR, Dada","11/24/2013","1","Eidolon dupreanum","ANGB23"
"AngavoBe","-18.944","47.9491","CB, CR, Dada","11/24/2013","1","Eidolon dupreanum","ANGB25"
"AngavoBe","-18.944","47.9491","CB, CR, Dada","11/24/2013","1","Eidolon dupreanum","ANGB29"
"AngavoBe","-18.944","47.9491","CB, CR, Dada","11/24/2013","1","Eidolon dupreanum","ANGB27"
"AngavoBe","-18.944","47.9491","CB, CR, Dada","11/24/2013","1","Eidolon dupreanum","ANGB15"
"AngavoBe","-18.944","47.9491","CB, CR, Dada","11/24/2013","1","Eidolon dupreanum","ANGB17"
"AngavoBe","-18.944","47.9491","CB, CR, Dada","11/24/2013","1","Eidolon dupreanum","ANGB19"
"AngavoBe","-18.944","47.9491","CB, CR, Dada","11/24/2013","1","Eidolon dupreanum","ANGB20"
"AngavoBe","-18.944","47.9491","CB, CR, Dada","11/24/2013","1","Eidolon dupreanum","ANGB22"
"AngavoBe","-18.944","47.9491","CB, CR, Dada","11/24/2013","1","Eidolon dupreanum","ANGB24"
"AngavoBe","-18.944","47.9491","CB, CR, Dada","11/24/2013","1","Eidolon dupreanum","ANGB26"
"AngavoBe","-18.944","47.9491","CB, CR, Dada","11/24/2013","1","Eidolon dupreanum","ANGB28"
"AngavoBe","-18.944","47.9491","CB, CR, Dada","11/24/2013","1","Eidolon dupreanum","ANGB30"
"AngavoKely","-18.9327","47.7578","CB, CR, Dada","11/26/2013","1","Eidolon dupreanum","KEL2"
"AngavoKely","-18.9327","47.7578","CB, CR, Dada","11/26/2013","1","Eidolon dupreanum","KEL1"
"AngavoKely","-18.9327","47.7578","CB, CR, Dada","11/26/2013","1","Eidolon dupreanum","KEL3"
"AngavoKely","-18.9327","47.7578","CB, CR, Dada","11/26/2013","1","Eidolon dupreanum","KEL4"
"AngavoKely","-18.9327","47.7578","CB, CR, Dada","11/26/2013","1","Eidolon dupreanum","KEL5"
"AngavoKely","-18.9327","47.7578","CB, CR, Dada","11/26/2013","1","Eidolon dupreanum","KEL6"
"AngavoKely","-18.9327","47.7578","CB, CR, Dada","11/26/2013","1","Eidolon dupreanum","KEL7"
"AngavoKely","-18.9327","47.7578","CB, CR, Dada","11/26/2013","1","Eidolon dupreanum","KEL8"
"AngavoKely","-18.9327","47.7578","CB, CR, Dada","11/26/2013","1","Eidolon dupreanum","KEL9"
"AngavoKely","-18.9327","47.7578","CB, CR, Dada","11/26/2013","1","Eidolon dupreanum","KEL10"
"AngavoKely","-18.9327","47.7578","CB, CR, Dada","11/26/2013","1","Eidolon dupreanum","KEL11"
"AngavoKely","-18.9327","47.7578","CB, CR, Dada","11/26/2013","1","Eidolon dupreanum","KEL12"
"AngavoKely","-18.9327","47.7578","CB, CR, Dada","11/26/2013","1","Eidolon dupreanum","KEL13"
"AngavoKely","-18.9327","47.7578","CB, CR, Dada","11/26/2013","1","Eidolon dupreanum","KEL14"
"AngavoKely","-18.9327","47.7578","CB, CR, Dada","11/26/2013","1","Eidolon dupreanum","KEL15"
"AngavoKely","-18.9327","47.7578","CB, CR, Dada","11/26/2013","1","Eidolon dupreanum","KEL16"
"AngavoKely","-18.9327","47.7578","CB, CR, Dada","11/26/2013","1","Eidolon dupreanum","KEL17"
"AngavoKely","-18.9327","47.7578","CB, CR, Dada","11/26/2013","1","Eidolon dupreanum","KEL18"
"AngavoKely","-18.9327","47.7578","CB, CR, Dada","11/26/2013","1","Eidolon dupreanum","KEL19"
"AngavoKely","-18.9327","47.7578","CB, CR, Dada","11/26/2013","1","Eidolon dupreanum","KEL22"
"AngavoKely","-18.9327","47.7578","CB, CR, Dada","11/26/2013","1","Eidolon dupreanum","KEL20"
"AngavoKely","-18.9327","47.7578","CB, CR, Dada","11/26/2013","1","Eidolon dupreanum","KEL24"
"AngavoKely","-18.9327","47.7578","CB, CR, Dada","11/26/2013","1","Eidolon dupreanum","KEL26"
"AngavoKely","-18.9327","47.7578","CB, CR, Dada","11/26/2013","1","Eidolon dupreanum","KEL21"
"AngavoKely","-18.9327","47.7578","CB, CR, Dada","11/26/2013","1","Eidolon dupreanum","KEL23"
"AngavoKely","-18.9327","47.7578","CB, CR, Dada","11/26/2013","1","Eidolon dupreanum","KEL25"
"AngavoKely","-18.9327","47.7578","CB, CR, Dada","11/26/2013","1","Eidolon dupreanum","KEL27"
"Marovitsika","-18.8403","48.0554","CR","2/19/2014","1","Pteropus rufus","MARO14"
"Marovitsika","-18.8403","48.0554","CR","2/20/2014","2","Pteropus rufus","MARO15"
"Marovitsika","-18.8403","48.0554","CR","2/22/2014","3","Pteropus rufus","MARO16"
"Marovitsika","-18.8403","48.0554","CR","3/5/2014","1","Pteropus rufus","MARO17"
"Marovitsika","-18.8403","48.0554","CR","3/5/2014","1","Pteropus rufus","MARO18"
"Marovitsika","-18.8403","48.0554","CR","3/5/2014","1","Pteropus rufus","MARO19"
"Marovitsika","-18.8403","48.0554","CR","3/6/2014","2","Pteropus rufus","MARO22"
"Marovitsika","-18.8403","48.0554","CR","3/6/2014","2","Pteropus rufus","MARO23"
"Marovitsika","-18.8403","48.0554","CR","3/6/2014","2","Pteropus rufus","MARO20"
"Marovitsika","-18.8403","48.0554","CR","3/6/2014","2","Pteropus rufus","MARO21"
"AngavoBe","-18.944","47.9491","CR","3/19/2014","1","Eidolon dupreanum","ANGB32"
"AngavoBe","-18.944","47.9491","CR","3/19/2014","1","Eidolon dupreanum","ANGB31"
"AngavoBe","-18.944","47.9491","CR","3/19/2014","1","Eidolon dupreanum","ANGB33"
"AngavoBe","-18.944","47.9491","CR","3/19/2014","1","Eidolon dupreanum","ANGB34"
"AngavoBe","-18.944","47.9491","CR","3/19/2014","1","Eidolon dupreanum","ANGB35"
"AngavoBe","-18.944","47.9491","CR","3/19/2014","1","Eidolon dupreanum","ANGB36"
"AngavoBe","-18.944","47.9491","CR","3/19/2014","1","Eidolon dupreanum","ANGB37"
"AngavoBe","-18.944","47.9491","CR","3/20/2014","2","Eidolon dupreanum","ANGB38"
"AngavoBe","-18.944","47.9491","CR","3/20/2014","2","Eidolon dupreanum","ANGB39"
"AngavoBe","-18.944","47.9491","CR","3/20/2014","2","Eidolon dupreanum","ANGB40"
"AngavoBe","-18.944","47.9491","CR","3/20/2014","2","Eidolon dupreanum","ANGB41"
"Mahabo","-20.4643","44.6822","CB, CR, YL","7/13/2014","1","Eidolon dupreanum","EMA1"
"Mahabo","-20.4643","44.6822","CB, CR, YL","7/13/2014","1","Eidolon dupreanum","EMA2"
"Mahabo","-20.4643","44.6822","CB, CR, YL","7/13/2014","1","Pteropus rufus","MAH1"
"Mahabo","-20.4643","44.6822","CB, CR, YL","7/13/2014","1","Pteropus rufus","MAH2"
"Mahabo","-20.4643","44.6822","CB, CR, YL","7/13/2014","1","Pteropus rufus","MAH3"
"Mahabo","-20.4643","44.6822","CB, CR, YL","7/13/2014","1","Pteropus rufus","MAH4"
"Mahabo","-20.4643","44.6822","CB, CR, YL","7/13/2014","1","Pteropus rufus","MAH5"
"Mahabo","-20.4643","44.6822","CB, CR, YL","7/13/2014","1","Pteropus rufus","MAH6"
"Mahabo","-20.4643","44.6822","CB, CR, YL","7/13/2014","1","Pteropus rufus","MAH7"
"Mahabo","-20.4643","44.6822","CB, CR, YL","7/13/2014","1","Pteropus rufus","MAH8"
"Mahabo","-20.4643","44.6822","CB, CR, YL","7/13/2014","1","Eidolon dupreanum","EMA3"
"Mahabo","-20.4643","44.6822","CB, CR, YL","7/14/2014","2","Eidolon dupreanum","EMA4"
"Mahabo","-20.4643","44.6822","CB, CR, YL","7/14/2014","2","Eidolon dupreanum","EMA6"
"Mahabo","-20.4643","44.6822","CB, CR, YL","7/14/2014","2","Eidolon dupreanum","EMA5"
"Mahabo","-20.4643","44.6822","CB, CR, YL","7/14/2014","2","Eidolon dupreanum","EMA7"
"Mahabo","-20.4643","44.6822","CB, CR, YL","7/14/2014","2","Eidolon dupreanum","EMA8"
"Mahabo","-20.4643","44.6822","CB, CR, YL","7/14/2014","2","Eidolon dupreanum","EMA9"
"Mahabo","-20.4643","44.6822","CB, CR, YL","7/14/2014","2","Eidolon dupreanum","EMA10"
"Mahabo","-20.4643","44.6822","CB, CR, YL","7/14/2014","2","Eidolon dupreanum","EMA11"
"Mahabo","-20.4643","44.6822","CB, CR, YL","7/14/2014","2","Pteropus rufus","MAH9"
"Mahabo","-20.4643","44.6822","CB, CR, YL","7/14/2014","2","Eidolon dupreanum","EMA12"
"Mahabo","-20.4643","44.6822","CB, CR","7/16/2014","3","Pteropus rufus","MAH10"
"Mahabo","-20.4643","44.6822","CB, CR, YL","7/18/2014","4","Eidolon dupreanum","EMA13"
"Mahabo","-20.4643","44.6822","CB, CR, YL","7/18/2014","4","Eidolon dupreanum","EMA14"
"Mahabo","-20.4643","44.6822","CB, CR, YL","7/18/2014","4","Pteropus rufus","MAH14"
"Mahabo","-20.4643","44.6822","CB, CR, YL","7/18/2014","4","Pteropus rufus","MAH11"
"Mahabo","-20.4643","44.6822","CB, CR, YL","7/18/2014","4","Pteropus rufus","MAH12"
"Mahabo","-20.4643","44.6822","CB, CR, YL","7/18/2014","4","Pteropus rufus","MAH13"
"Mahabo","-20.4643","44.6822","CB, CR, YL","7/18/2014","4","Pteropus rufus","MAH15"
"Mahabo","-20.4643","44.6822","CB, CR, YL","7/18/2014","4","Pteropus rufus","MAH16"
"Mahabo","-20.4643","44.6822","CB, CR, YL","7/19/2014","5","Pteropus rufus","MAH17"
"Mahabo","-20.4643","44.6822","CB, CR, YL","7/19/2014","5","Pteropus rufus","MAH18"
"Mahabo","-20.4643","44.6822","CB, CR, YL","7/19/2014","5","Pteropus rufus","MAH19"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/1/2014","1","Eidolon dupreanum","AND1"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/1/2014","1","Eidolon dupreanum","AND2"
